AP MAC,zoneId,apGroupId,AP Serial,AP Name,Zone Name,AP Description,AP Location,AP S/W Version,wifi24Channel,wifi50Channel,NAS IP (externalIp),NAS Port (externalPort),AP IP,AP Provisioned Method,AP Approved Time,AP Last Seen,Connected Client counts,Management VLAN
D4:BD:4F:15:C0:A0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 602,BARMER,5.2.2.0.301,6,120,122.186.2.18,46062,10.0.8.68,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:C1:D0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 551,BARMER,5.2.2.0.301,11,100,122.186.2.18,58368,10.0.8.46,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:C2:10,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 530,BARMER,5.2.2.0.301,11,64,122.186.2.18,59218,10.0.8.47,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:C3:10,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 521,BARMER,5.2.2.0.301,11,108,122.186.2.18,45627,10.0.8.65,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:C4:20,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 637,BARMER,5.2.2.0.301,1,120,122.186.2.18,55802,10.0.8.79,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:C4:90,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 635,BARMER,5.2.2.0.301,11,149,122.186.2.18,37974,10.0.8.80,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:C5:60,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 639,BARMER,5.2.2.0.301,11,52,122.186.2.18,56223,10.0.8.81,Discovered,1.68E+12,1.71E+12,1,1
D4:BD:4F:15:CB:70,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 501,BARMER,5.2.2.0.301,6,112,122.186.2.18,45799,10.0.8.23,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:D5:D0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 586,BARMER,5.2.2.0.301,6,120,122.186.2.18,39839,10.0.8.6,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:D9:20,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 571,BARMER,5.2.2.0.301,11,157,122.186.2.18,45257,10.0.8.11,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:D9:60,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 568,BARMER,5.2.2.0.301,11,100,122.186.2.18,47958,10.0.8.10,Discovered,1.68E+12,1.71E+12,1,1
D4:BD:4F:15:D9:80,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 541,BARMER,5.2.2.0.301,6,128,122.186.2.18,58011,10.0.8.21,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:D9:D0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 558,BARMER,5.2.2.0.301,6,116,122.186.2.18,25559,10.0.8.13,Discovered,1.68E+12,1.71E+12,1,1
D4:BD:4F:15:DA:20,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 588,BARMER,5.2.2.0.301,1,108,122.186.2.18,49079,10.0.8.26,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:DA:30,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 561,BARMER,5.2.2.0.301,6,124,122.186.2.18,46733,10.0.8.34,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:DA:60,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 616,BARMER,5.2.2.0.301,1,153,122.186.2.18,51674,10.0.8.72,Discovered,1.68E+12,1.71E+12,1,1
D4:BD:4F:15:DA:80,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 578,BARMER,5.2.2.0.301,6,157,122.186.2.18,56173,10.0.8.28,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:DA:90,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 589,BARMER,5.2.2.0.301,6,48,122.186.2.18,47608,10.0.8.25,Discovered,1.68E+12,1.71E+12,1,1
D4:BD:4F:15:DA:A0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 553,BARMER,5.2.2.0.301,6,52,122.186.2.18,49682,10.0.8.17,Discovered,1.68E+12,1.71E+12,0,1
